,radius(nm),distrib,err
97,57.65055220037879,0.0008779950238186713,0.00096
98,54.443473067442284,0.0039928330197119,0.0019
99,51.41528342915208,0.009164347084057854,0.0025
100,48.55520680992711,0.01527391180676309,0.0026
101,45.85390359759707,0.020800253728836253,0.0023
102,43.30347104340248,0.02433833610330006,0.0018
103,40.894569535173055,0.024950108271795245,0.0013
104,38.620014755854726,0.022411253772540236,0.0013
105,36.47190395668801,0.0173131523684137,0.0019
106,34.44305282061886,0.010971114221680298,0.0022
107,32.526995462298586,0.005087905201318278,0.002
108,30.717984428083945,0.0012255835775520183,0.0011
109,29.008835400920866,0.0,2.6e-17
110,27.395237790576907,0.0,3.4e-17
111,25.871444143408823,0.0,4.1e-17
112,24.432425437478745,0.0,5.7e-17
113,23.073152650848844,0.0,3.7e-17
114,21.79003362499207,0.0,2.1e-17
115,20.57803933797059,0.0,4.3e-17
116,19.43285919955195,0.0,3e-17
117,18.35233791461993,0.0,4.5e-17
118,17.331446461236688,0.0,3.9e-17
119,16.36731111258059,0.0,2.6e-17
120,15.457058141830018,0.0,1.4e-17
121,14.597095390457927,0.0,4.5e-17
122,13.785267563348102,0.0,2e-17
123,13.017982501973504,0.0,1.1e-17
124,12.29380334292332,0.0,2.4e-17
125,11.609856359375927,0.0,3.5e-17
126,10.96470468792051,0.0,4.4e-17
127,10.354756170030026,0.0,4.5e-17
128,9.778573942293672,0.0,2.9e-17
129,9.23472114130063,0.0,1.9e-17
130,8.721042471934679,0.0,1.8e-17
131,8.236101070785002,0.0,3.2e-17
132,7.777741642735384,0.0,2.3e-17
133,7.345245756080413,0.0,1.4e-17
134,6.936458115703873,0.0,4.8e-17
135,6.5505884467298126,0.0,2.7e-17
136,6.186199885747419,0.0,4e-17
137,5.8420710988575015,0.0,3.9e-17
138,5.5171244385019484,0.0,3.9e-17
139,5.21021041395211,0.0,3.4e-17
140,4.920395063990956,0.0,3.1e-17
141,4.646672584230918,0.0,2.7e-17
142,4.388252699796046,0.0,2.1e-17
143,4.1441296062987725,0.0,4.9e-17
144,3.91358487203369,0.0,4.1e-17
145,3.695900065295391,0.0,3.8e-17
146,3.4903567543784693,0.0,2.6e-17
147,3.2961646644069775,0.0,2.1e-17
148,3.11282089318713,0.0,2.8e-17
149,2.9396788521840604,0.0,1.4e-17
150,2.7761637960334444,0.0,1.7e-17
