,radius(nm),distrib,err
91,41.60381602034418,0.02698,0.0087
92,40.05992113436447,0.01689,0.0091
93,38.57305224091415,0.008123,0.0074
94,37.14153210491884,0.00229,0.0038
95,35.76284487376694,0.0,1.2e-16
96,34.43531331238406,0.0,3.8e-17
97,33.157260185695804,0.0,4.3e-17
98,31.926169641090567,0.0,5e-17
99,30.74120306103118,0.0,2.8e-17
100,29.600683210443233,0.0,3e-17
101,28.502094236715134,0.0,6.7e-17
102,27.443758904772498,0.0,5.9e-17
103,26.424838597078118,0.0,1.3e-16
104,25.444494696094797,0.0,1.9e-16
105,24.500211349210957,0.0,6.6e-17
106,23.59031132135219,0.0,1.2e-16
107,22.7147946125185,0.0,6.1e-17
108,21.87198398763549,0.0,1.1e-16
109,21.060202211628777,0.0,2.4e-17
110,20.27861066696115,0.0,8e-17
111,19.52553211855823,0.0,1.1e-16
112,18.800966566420005,0.0,2.1e-16
113,18.103236775472084,0.0,1.7e-16
114,17.43150412817727,0.0,6.6e-17
115,16.784091389461167,0.0,8e-17
116,16.160998559323783,0.0,1.3e-16
117,15.561387020227912,0.0,7.4e-17
118,14.983579537099166,0.0,7.8e-17
119,14.427576109937542,0.0,6.6e-17
120,13.892538121205844,0.0,7e-17
121,13.376788335829675,0.0,1.2e-16
122,12.880326753809038,0.0,3e-17
123,12.402314757606735,0.0,1.5e-16
124,11.94191372968557,0.0,7.5e-17
125,11.498285052508347,0.0,4.4e-17
126,11.071428726075066,0.0,4.7e-17
127,10.660506132848523,0.0,1.3e-16
128,10.264678655291531,0.0,1.5e-16
129,9.883946293404083,0.0,7.9e-17
130,9.517470429648984,0.0,2.1e-16
131,9.163573828951842,0.0,7.5e-17
132,8.82393372638705,0.0,1.2e-16
133,8.496034269343015,0.0,9.8e-17
134,8.180965660618094,0.0,1.1e-16
135,7.877302250399053,0.0,2.4e-16
136,7.584960176932172,0.0,2.5e-16
137,7.3034362696951325,0.0,4.5e-17
138,7.032395081673054,0.0,9.4e-17
139,6.771333442343622,0.0,2.6e-17
140,6.519999766445675,0.0,9.8e-17
141,6.277974745210615,0.0,6e-17
142,6.045006793377282,0.0,4.4e-17
143,5.82059274042336,0.0,7e-17
144,5.604564862841407,0.0,6.6e-17
145,5.3965877136165465,0.0,1.2e-16
146,5.196241983980179,0.0,5.8e-17
147,5.003359950424864,0.0,5.1e-17
148,4.817690027689443,0.0,4e-17
149,4.638896768759038,0.0,1e-16
150,4.466728588372491,0.0,5.1e-17
151,4.30093390126864,0.0,1e-16
152,4.141261122186327,0.0,7e-17
153,3.9875425276181127,0.0,5.9e-17
154,3.8395265323028385,0.0,4.5e-17
155,3.6970454127330648,0.0,7.5e-17
156,3.5598475836476324,0.0,1.2e-16
157,3.427681459785382,0.0,1e-16
158,3.300463179392594,0.0,2.8e-17
159,3.1779411572081098,0.0,4.3e-17
160,3.0600315314782085,0.0,5.1e-17
161,2.946482716941732,0.0,6.2e-17
162,2.8370431283375206,0.0,3.4e-17
163,2.7317966274192944,0.0,4.4e-17
164,2.630407767172174,0.0,4.4e-17
165,2.5327926858424417,0.0,6e-17
166,2.4387836599226556,0.0,6.5e-17
167,2.3482129659053768,0.0,9e-17
168,2.261080603790607,0.0,1.7e-17
169,2.177134988317185,0.0,5e-17
170,2.096376119485112,0.0,4.5e-17
171,2.0185524120332285,0.0,2.7e-17
172,1.9435800042078148,0.0,2.3e-17
173,1.871458896008871,0.0,5.2e-17
174,1.8020213639289577,0.0,1.6e-17
175,1.7350996844606354,0.0,2.6e-17
176,1.6706938576039043,0.0,3.4e-17
177,1.6087200216050443,0.0,3.8e-17
178,1.5490104529566167,0.0,3.4e-17
179,1.491481289904901,0.0,8.6e-17
180,1.4361325324498977,0.0,2.9e-17
181,1.3828803188378869,0.0,4.3e-17
182,1.3315569255614292,0.0,1.3e-17
183,1.2820784908668048,0.0,2e-17
184,1.2345288765077338,0.0,4.5e-17
185,1.1886564972230569,0.0,4.8e-17
186,1.1445452147664936,0.0,2.4e-17
187,1.1021111673843245,0.0,5e-17
188,1.0611866315691096,0.0,1.3e-17
189,1.0217716073208498,0.0,1.3e-17
190,0.9838660946395446,0.0,2e-17
191,0.947386231771474,0.0,2e-17
192,0.9121642952091992,0.0,1.4e-17
