,radius(nm),distrib,err
158,2.2084154224546335,0.0,6.4e-17
159,2.0920153082916877,0.0,8.1e-17
160,1.981820963903999,0.0,6.6e-17
161,1.8774130805229698,0.0,5.9e-17
162,1.7785400728874412,0.0,1e-16
163,1.6847826322288142,0.0,7.6e-17
164,1.5960568967933695,0.0,5.9e-17
165,1.5119435578125082,0.0,1.1e-16
166,1.4322748917787915,0.0,7.8e-17
167,1.3568831751847792,0.0,8e-17
168,1.2853490992618735,0.0,5.4e-17
169,1.217672664010074,0.0,8.7e-17
170,1.1535184224145016,0.0,8.4e-17
171,1.0927186509677176,0.0,5.3e-17
172,1.0351894879160022,0.0,6.4e-17
173,0.980595486244476,0.0,6.7e-17
174,0.9289366459531397,0.0,4.8e-17
175,0.8800452435345533,0.0,6.4e-17
176,0.833661307552186,0.0,6.2e-17
177,0.7897429071291783,0.0,6.4e-17
178,0.748130704933462,0.0,3.7e-17
179,0.708715680685202,0.0,4.3e-17
180,0.6713804279291907,0.0,4.9e-17
181,0.6360075402102203,0.0,4.7e-17
182,0.6025047695991994,0.0,2.8e-17
183,0.5707630958162921,0.0,4e-17
184,0.5406902709324071,0.0,4.9e-17
185,0.5122024331938242,0.0,2.3e-17
186,0.48522410702219615,0.0,1.7e-17
187,0.4596546583130589,0.0,1.6e-17
188,0.43544377001418094,0.0,2.2e-17
189,0.41249919419647046,0.0,2.3e-17
190,0.3907706138076956,0.0,1.7e-17
191,0.37018255326950883,0.0,1.3e-17
192,0.3506763093543061,0.0,1.4e-17
193,0.3322015650098557,0.0,8.6e-18
194,0.3146996170085539,0.0,1.2e-17
