,radius(nm),distrib,err
65,282.92353775991546,0.0,9.1e-19
66,270.5315594436532,0.0,7.4e-18
67,258.67709953032374,0.0,1.6e-18
68,247.34563049552352,0.0,5e-18
69,236.51536105264717,0.0,3.9e-18
70,226.15723615288746,0.0,4.6e-18
71,216.2494645096391,0.0,8.6e-18
72,206.77751859849843,0.0,1.1e-18
73,197.71960713286003,0.0,1.2e-17
74,189.0612025883204,0.0,1.3e-17
75,180.78051367827408,0.0,1.1e-17
76,172.86301287831753,0.0,6.4e-18
77,165.28690890184535,0.0,1.2e-17
78,158.05220174885753,0.0,1.3e-17
79,151.12983637054688,0.0,9.2e-18
80,144.50528524250984,0.0,1.5e-17
81,138.17854836474638,0.0,9e-18
82,132.12783445065116,0.0,2.4e-18
83,126.33861597582053,0.0,1.2e-18
84,120.80362917805273,0.0,4e-18
85,115.51561029514596,0.0,1.3e-17
86,110.45276804049485,0.0,6.5e-18
87,105.61510241409937,0.0,5.2e-18
88,100.98808589155594,0.0,2e-17
89,96.56445471066279,0.0,8.5e-18
90,92.3369451092181,0.0,1.7e-17
91,88.29102956281828,0.0,6.2e-18
92,84.42670807146334,0.0,1e-17
93,80.72945311074969,0.0,2.1e-18
94,77.19200091847551,0.0,8.9e-18
95,73.80708773243904,0.0011368494583947194,0.00063
96,70.5768926813008,0.004310429212963619,0.0014
97,67.48543548821685,0.009827698616149249,0.0021
98,64.5290842720863,0.017547676336699496,0.0024
99,61.70275439936784,0.027006423809359165,0.0023
100,58.999908484079924,0.03754502828735419,0.0019
101,56.41618826890144,0.048373594368633706,0.0011
102,53.94505636785079,0.05873222267907284,0.00041
103,51.58215452360687,0.0678510151685714,0.00099
104,49.32239810262844,0.07511005392665905,0.0019
105,47.16215522381461,0.08001940383054477,0.0028
106,45.096341253624104,0.08225910724901808,0.0033
107,43.12132431095605,0.08170918007037509,0.0036
108,41.23274613848934,0.07842961435046772,0.0035
109,39.42624847890293,0.0726803756646545,0.003
110,37.69965220353625,0.06488140840389917,0.0023
111,36.048599055068244,0.05556264239489407,0.0014
